project;watchers;stargazers;subscribers;forks;is_forked
fidor/fidor_api_demo;1;1;2;5;false
JLahti/open-build-service;1;1;1;0;true
M0ses/open-build-service;1;1;1;0;true
lbt/open-build-service;1;1;1;1;true
b1-systems/open-build-service;1;1;5;0;true
tuanpembual/open-build-service;1;1;1;0;true
bustikiller/riews-demo;1;1;0;0;false
shipcloud/billwerk;1;1;13;3;false
CardTapp/hekate;1;1;1;0;false
cedricium/spectrum;1;1;0;0;false
Janfred/stuko-finanzen;1;1;1;0;false
thetallgrassnet/pokesite;1;1;1;0;false
rubyberlin/cfp-app;1;1;9;0;false
Frixoe/fot;1;1;1;0;false
iondrimba/halloween-wave;1;1;1;0;false
sanger/limber;1;1;4;8;false
d4nyll/git-tt;1;1;0;0;false
Phylator/phylator;1;1;1;0;false
hieuk09/wallet;1;1;1;1;false
ianwalter/dist;1;1;1;0;false
tansengming/passgen;1;1;1;0;false
arfelio/board;1;1;1;0;false
hackberryco/rails-starter;1;1;1;0;false
hackberrydev/rails-starter;1;1;1;0;false
levieindustries/elementary;1;1;0;0;false
phoet/basement;1;1;3;0;false
bottza/bootbot;1;1;1;0;false
octopusinvitro/conman;1;1;1;0;false
devheaven-platform/frontend;1;1;3;0;false
faucet-pipeline/faucet_pipeline_rails;1;1;3;0;false
octopusinvitro/uno;1;1;1;0;false
depfu/example-ruby;1;1;1;3;false
NativeGap/nativegap;1;1;1;0;false
the0neyouseek/deliveroo-cli;1;1;1;0;false
jonhue/sandboxy;1;1;1;0;false
JamesGlover/sequencescape;1;1;1;0;true
